City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,broken hill,-31.95,141.4333,12.700000000000045,60,0,6.44,AU,1688523905
188,fada,9.5667,8.3,19.49000000000001,96,81,0.98,NG,1688523695
189,truro,50.2653,-5.0544,14.600000000000023,77,20,9.77,GB,1688523936
190,calvinia,-31.4707,19.776,8.420000000000016,54,7,3.07,ZA,1688523936
191,khromtau,50.2503,58.4347,20.590000000000032,66,0,4.65,KZ,1688523936
192,tolanaro,-25.0319,46.9987,18.04000000000002,72,20,3.09,MG,1688523691
193,porvoo,60.3923,25.6651,14.28000000000003,92,66,6.76,FI,1688523937
194,mahina,-17.5065,-149.489,28.870000000000005,65,40,3.09,PF,1688523937
195,dubbo,-32.25,148.6167,13.07000000000005,94,75,3.6,AU,1688523834
196,smirnykh,49.75,142.8333,12.400000000000034,95,100,0.5,RU,1688523937
197,borgarnes,64.5383,-21.9206,6.03000000000003,84,95,4.58,IS,1688523938
198,happy valley-goose bay,53.3168,-60.3315,18.170000000000016,63,75,4.12,CA,1688523709
199,birobidzhan,48.8,132.95,25.360000000000014,63,3,5.28,RU,1688523938
200,bikenibeu village,1.3673,173.1241,30.980000000000018,74,20,5.14,KI,1688523938
201,salamanca,40.8333,-6.0,16.140000000000043,73,0,0.29,ES,1688523939
202,mbandaka,0.0487,18.2603,20.80000000000001,94,92,1.29,CD,1688523702
203,pell city,33.5862,-86.2861,26.100000000000023,95,75,0.0,US,1688523940
204,coquimbo,-29.9533,-71.3436,14.28000000000003,76,0,3.04,CL,1688523649
205,orobo,-7.745,-35.6022,18.840000000000032,94,41,3.77,BR,1688523940
206,vila franca do campo,37.7167,-25.4333,19.230000000000018,87,100,1.83,PT,1688523716
207,christchurch,-43.5333,172.6333,14.120000000000005,56,0,2.06,NZ,1688523474
208,carnarvon,-24.8667,113.6333,19.010000000000048,58,99,6.34,AU,1688523665
209,la ronge,55.1001,-105.2842,18.140000000000043,32,20,2.06,CA,1688523763
210,guatrache,-37.6678,-63.5302,12.370000000000005,39,100,7.3,AR,1688523942
211,belmonte,-15.8631,-38.8828,20.600000000000023,83,73,4.42,BR,1688523674
212,utrik,11.2278,169.8474,27.660000000000025,79,82,8.16,MH,1688523635
213,waingapu,-9.6567,120.2641,28.060000000000002,69,6,4.88,ID,1688523943
214,tangalle,6.024,80.7911,25.30000000000001,89,100,8.24,LK,1688523698
215,greymouth,-42.4667,171.2,11.180000000000007,84,95,4.99,NZ,1688523552
216,kruisfontein,-34.0033,24.7314,9.939999999999998,64,100,5.72,ZA,1688523661
217,phalodi,27.1333,72.3667,31.900000000000034,58,99,7.87,IN,1688523944
218,talitsa,56.8804,60.0213,18.30000000000001,88,42,1.7,RU,1688523944
219,al burayqah,30.4062,19.5739,23.710000000000036,82,0,3.93,LY,1688523769
220,jenbach,47.4013,11.7406,11.53000000000003,98,100,2.22,AT,1688523945
221,kamaishi,39.2667,141.8833,20.350000000000023,84,90,3.1,JP,1688523945
222,lakatoro,-16.0999,167.4164,26.420000000000016,68,41,4.53,VU,1688523753
223,bechar,31.6167,-2.2167,31.180000000000007,13,2,3.09,DZ,1688523945
224,fuglafjordur,62.244,-6.814,7.260000000000048,78,65,4.93,FO,1688523706
225,port macquarie,-31.4333,152.9167,22.160000000000025,47,0,3.43,AU,1688523800
226,stephenville,32.2207,-98.2023,30.0,76,40,0.0,US,1688523946
227,san luis de la loma,17.2706,-100.8939,27.80000000000001,81,65,0.19,MX,1688523947
228,namibe,-15.1961,12.1522,18.82000000000005,74,0,1.61,AO,1688523641
229,talnakh,69.4865,88.3972,21.230000000000018,66,98,4.94,RU,1688523665
230,tabou,4.423,-7.3528,24.810000000000002,86,44,2.9,CI,1688523947
231,caycuma,41.4264,32.0756,20.25,89,0,1.5,TR,1688523948
232,newman,37.3138,-121.0208,34.129999999999995,43,0,2.24,US,1688523792
233,dryden,49.7833,-92.7503,18.160000000000025,72,100,3.09,CA,1688523772
234,kristiansund,63.1115,7.732,11.360000000000014,82,100,1.54,NO,1688523949
235,box elder,41.5005,-112.8764,23.83000000000004,41,48,8.57,US,1688523949
236,komsomol'skiy,43.9783,46.6985,21.129999999999995,65,98,2.62,RU,1688523949
237,prado,-17.3411,-39.2208,19.82000000000005,79,99,3.05,BR,1688523950
238,conduaga,8.862,117.4893,28.110000000000014,80,100,1.12,PH,1688523950
239,hadibu,12.65,54.0333,25.08000000000004,81,100,12.46,YE,1688523649
240,klaksvik,62.2266,-6.589,7.510000000000048,76,53,5.28,FO,1688523724
241,shenjiamen,29.9576,122.298,24.78000000000003,92,100,3.09,CN,1688523951
242,inari,68.906,27.0288,13.110000000000014,92,100,2.72,FI,1688523952
243,xilin hot,43.9667,116.0333,18.870000000000005,50,76,10.72,CN,1688523952
244,skopin,53.8249,39.5505,17.02000000000004,82,58,2.54,RU,1688523953
245,fallon,39.4735,-118.7774,33.93000000000001,16,0,2.06,US,1688523953
246,arklow,52.7931,-6.1414,10.600000000000023,90,27,4.88,IE,1688523953
247,zhuangyuan,37.2975,120.8256,30.379999999999995,49,0,6.24,CN,1688523953
